"ID"	"study_day"	"subj_day"	"CollectionDate"	"Subject"	"Subj_Certainty"	"probiotic"	"StudbookID"	"Sex"	"MotherID"	"FatherID"	"BirthYear"	"BirthLocation"	"SubjectAge"	"oatgel"	"steroid"	"cauliflower"	"tomatoes"	"broccoli"	"med_type"	"med_name"	"med_dose"	"dose_units"	"enclosure"	"access"	"estrus"	"pregnant"	"health_note"	"repro_note"	"SampleNotes"
"hdz-095"	1	"W1"	2023-10-26	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"yes"	"yes"	"no"	NA	NA	""
"hdz-005"	2	"W2"	2023-10-27	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"yes"	"yes"	"no"	NA	NA	"Suspected date of conception"
"hdz-004"	3	"W3"	2023-10-28	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"yes"	"yes"	"no"	NA	NA	"Vaginal closure began"
"hdz-019"	4	"W4"	2023-10-29	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"yes"	"yes"	"no"	NA	NA	"Complete vaginal closure"
"hdz-025"	6	"W6"	2023-10-31	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-002"	7	"W7"	2023-11-01	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-023"	9	"W9"	2023-11-03	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-001"	10	"W10"	2023-11-04	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-030"	12	"W12"	2023-11-06	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-050"	14	"W14"	2023-11-08	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-036"	15	"W15"	2023-11-09	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-067"	33	"W33"	2023-11-27	"warble"	"no"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-186"	42	"W42"	2023-12-06	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-183"	43	"W43"	2023-12-07	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-195"	45	"W45"	2023-12-09	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-157"	50	"W50"	2023-12-14	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-173"	50	"W50"	2023-12-14	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-161"	52	"W52"	2023-12-16	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-162"	53	"W53"	2023-12-17	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-170"	54	"W54"	2023-12-18	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-099"	57	"W57"	2023-12-21	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-103"	58	"W58"	2023-12-22	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-101"	60	"W60"	2023-12-24	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	"Very little stabilizer in the tube"
"hdz-096"	63	"W63"	2023-12-27	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	6	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-106"	68	"W68"	2024-01-01	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-107"	69	"W69"	2024-01-02	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-193"	73	"W73"	2024-01-06	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-259"	80	"W80"	2024-01-13	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-251"	83	"W83"	2024-01-16	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-323"	84	"W84"	2024-01-17	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-246"	85	"W85"	2024-01-18	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-247"	87	"W87"	2024-01-20	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-248"	88	"W88"	2024-01-21	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-267"	89	"W89"	2024-01-22	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-265"	90	"W90"	2024-01-23	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-209"	93	"W93"	2024-01-26	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-207"	94	"W94"	2024-01-27	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-260"	95	"W95"	2024-01-28	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-205"	96	"W96"	2024-01-29	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-208"	97	"W97"	2024-01-30	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-194"	100	"W100"	2024-02-02	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-200"	101	"W101"	2024-02-03	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-239"	103	"W103"	2024-02-05	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-199"	104	"W104"	2024-02-06	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-237"	106	"W106"	2024-02-08	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-307"	107	"W107"	2024-02-09	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-315"	108	"W108"	2024-02-10	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-306"	109	"W109"	2024-02-11	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-331"	110	"W110"	2024-02-12	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-303"	111	"W111"	2024-02-13	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-312"	112	"W112"	2024-02-14	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-313"	114	"W114"	2024-02-16	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-333"	117	"W117"	2024-02-19	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-335"	118	"W118"	2024-02-20	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-332"	119	"W119"	2024-02-21	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-325"	120	"W120"	2024-02-22	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-242"	121	"W121"	2024-02-23	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-334"	122	"W122"	2024-02-24	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-302"	123	"W123"	2024-02-25	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-232"	126	"W126"	2024-02-28	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"old"	"no"	"no"	"no"	NA	NA	""
"hdz-309"	127	"W127"	2024-02-29	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"no"	"no"	NA	NA	""
"hdz-337"	135	"W135"	2024-03-08	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"no"	"no"	NA	NA	""
"hdz-344"	136	"W136"	2024-03-09	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"no"	"no"	NA	NA	""
"hdz-338"	137	"W137"	2024-03-10	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"no"	"no"	NA	NA	""
