"ID"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"fpt1"	0	0	0	0	0	0	0	0.01
"fpt2"	0.77	0.31	0.24	0.09	0.7	0.51	0.07	1.07
"fpt3"	0.77	0.31	0.24	0.09	0.7	0.51	0.07	1.07
"fpt4"	0.13	0.06	0.04	0.04	0.14	0.11	0.04	0.14
"fpt5"	46.63	32.09	47.91	19.83	39.55	33.79	17.49	26.94
"fpt6"	0.03	0.01	0	0.11	0	0	0	0
"fpt7"	6.48	3.1	2.56	5.42	6.24	8.42	3.59	12.4
"fpt8"	0.09	0.06	0.03	0.03	0.07	0.06	0.03	0.06
"fpt9"	0.77	0.31	0.24	0.09	0.7	0.51	0.07	1.07
"fpt10"	6.45	2.66	1.5	4.76	4.76	5.8	2.19	8.25
"fpt11"	0.01	0	0	0	0.03	0.03	0.01	0.03
"fpt12"	1.36	0.5	0.39	0.13	0.9	0.86	0.17	1.53
"fpt13"	1.64	0.49	1.6	2.02	3.38	2.26	0.8	0.7
"fpt14"	0	0	0	0	0	0	0	0.01
"fpt15"	36.87	28.17	46.62	23.52	37.29	30.9	15.41	22.26
"fpt16"	0.2	0.13	0.06	0.03	0.13	0.19	0.11	0.13
"fpt17"	0.8	0.33	0.24	0.2	0.7	0.51	0.07	1.07
"fpt18"	0.8	0.33	0.24	0.2	0.7	0.51	0.07	1.07
"fpt19"	0.01	0	0	0	0.03	0.03	0.01	0.03
"fpt20"	1.36	0.5	0.39	0.13	0.9	0.86	0.17	1.53
"fpt21"	12.25	5.19	0.86	1.24	3.1	3.36	1.24	8.25
"fpt22"	12.41	5.26	0.9	1.4	3.25	3.63	1.29	8.4
"fpt23"	37.46	28.34	46.58	16.79	37.47	31.37	15.6	22.73
"fpt24"	43.08	30.61	45.92	19.51	35.77	28.55	14.5	22.26
"fpt25"	0	0	0	0.04	0	0	0	0
"fpt26"	6.22	3.23	2.66	11.47	6.25	7.82	3.53	12.32
"fpt27"	1.66	0.66	0.41	0.14	0.97	0.93	0.24	2.43
"fpt28"	1.64	0.66	0.4	0.19	0.93	0.9	0.24	2.4
"fpt29"	37.95	28.51	47.02	23.67	38.11	31.71	15.89	23.13
"fpt30"	1.66	0.66	0.41	0.14	0.97	0.93	0.24	2.43
"fpt31"	0.77	0.31	0.24	0.09	0.7	0.51	0.07	1.07
"fpt32"	29.43	25.33	42.76	15.02	30.41	24.46	14.21	16.18
"fpt33"	37.69	28.36	46.66	22.89	37.73	31.44	15.6	22.82
"fpt34"	1.03	0.49	0.27	0.27	0.8	0.6	0.13	1.09
"fpt35"	2.72	0.93	0.61	6.45	1.72	1.49	0.43	2.5
"fpt36"	29.45	25.35	42.76	15.03	30.43	27.38	14.23	16.21
"fpt37"	37.46	28.34	46.58	16.79	37.47	31.37	15.6	22.73
"fpt38"	0.8	0.33	0.24	0.2	0.7	0.51	0.07	1.07
"fpt39"	12.08	5.36	2.56	5.51	6.71	8.46	3.79	12.73
"fpt40"	1.36	0.5	0.39	0.13	0.9	0.86	0.17	1.53
"fpt41"	1.16	0.39	0.39	7.24	1.06	0.76	0.11	1.27
"fpt42"	0	0	0	0.17	0	0	0	0
"fpt43"	0	0	0	0.04	0	0	0	0
"fpt44"	0.13	0.09	0.03	0	0.07	0.13	0.09	0.1
"fpt45"	8.74	3.34	0.67	7.51	2.3	5.05	0.76	3.52
"fpt46"	4.42	2.09	0.6	0.93	1.95	1.99	0.54	4.98
"fpt47"	17.07	7.65	3.74	9.94	10.35	13.31	5.74	19.28
"fpt48"	0.01	0.01	0	0	0	0	0	0
"fpt49"	0.92	0.21	0.1	0.14	0.5	0.53	0.21	0.63
"fpt50"	1.36	0.5	0.39	0.13	0.9	0.86	0.17	1.53
"fpt51"	29.43	25.33	42.76	15.02	30.39	24.46	14.21	16.17
"fpt52"	0.01	0.01	0	0	0.03	0	0	0.03
"fpt53"	12.9	5.4	1.04	8.28	3.63	3.53	1.3	8.5
"fpt54"	0	0	0	0	0.01	0	0	0.01
"fpt55"	8.24	4.26	2.61	5.85	6.64	8.51	3.64	14.26
"fpt56"	1.36	0.5	0.39	0.13	0.9	0.86	0.17	1.53
"fpt57"	42.14	30.3	46.14	16.42	36.67	30.74	15.49	23.02
"fpt58"	0.13	0.06	0.04	0.04	0.14	0.11	0.04	0.14
"fpt59"	0.8	0.33	0.27	0.09	0.77	0.59	0.1	1.14
"fpt60"	0.13	0.06	0.04	0.04	0.14	0.11	0.04	0.14
"fpt61"	2.32	0.73	0.51	0.29	1.53	1.62	0.41	2.39
"fpt62"	4.69	2.54	2.3	5.04	5.51	7.12	3.2	10.44
"fpt63"	1.62	0.67	0.41	0.14	0.97	0.94	0.23	1.53
"fpt64"	0.16	0.13	0.3	0.01	0.33	0.29	0.26	0.24
"fpt65"	31.51	25.33	43.68	14.93	29.93	20.89	10.8	9.77
"fpt66"	0.77	0.31	0.24	0.09	0.7	0.51	0.07	1.07
"fpt67"	4.69	2.54	2.3	5.04	5.51	7.12	3.2	10.44
"fpt68"	0.77	0.31	0.24	0.09	0.7	0.51	0.07	1.07
"fpt69"	16.43	7.5	4.03	10.16	10.54	13.48	5.6	19.24
"fpt70"	0.03	0.01	0	0.11	0	0	0	0
"fpt71"	0.77	0.31	0.24	0.09	0.7	0.51	0.07	1.07
"fpt72"	0.77	0.31	0.24	0.09	0.7	0.51	0.07	1.07
"fpt73"	36.23	27.85	46.25	17.55	36.71	30.55	15.46	21.34
"fpt74"	0.1	0.06	0.04	0.03	0.11	0.09	0.03	0.09
"fpt75"	0.8	0.33	0.24	0.2	0.7	0.51	0.07	1.07
"fpt76"	36.23	27.85	46.25	17.38	36.71	30.55	15.46	21.33
"fpt77"	7.62	3.53	3.43	8.97	8.8	11.57	5	14.66
"fpt78"	4.86	1.41	4.04	4.51	7.59	8.15	2.2	4.42
"fpt79"	1.36	0.5	0.39	0.13	0.9	0.86	0.17	1.53
"fpt80"	0.77	0.31	0.24	0.09	0.7	0.51	0.07	1.07
"fpt81"	17.46	7.92	3.76	9.93	10.34	13.3	5.8	20.26
"fpt82"	1.67	0.74	0.46	0.14	1.04	1.03	0.29	1.85
"fpt83"	0.92	0.21	0.1	0.14	0.5	0.53	0.21	0.63
"fpt84"	1.36	0.5	0.39	0.13	0.9	0.86	0.17	1.53
"fpt85"	1.03	0.49	0.27	0.1	0.77	0.6	0.13	1.07
"fpt86"	12.12	5.1	0.83	1.24	3.03	3.23	1.16	8.15
"fpt87"	1.47	0.57	0.41	0.27	0.99	0.92	0.2	1.62
"fpt88"	0	0.01	0	0.17	0	2.69	0	0
"fpt89"	26.59	23.11	42.88	6.95	27.55	18.47	10.1	4.46
"fpt90"	0.27	0.03	0.34	0.29	0.6	0.54	0.07	0.16
"fpt91"	0.03	0.01	0	0.11	0.01	0	0	0.01
"fpt92"	2.4	0.77	0.53	0.36	1.54	1.5	0.43	2.3
"fpt93"	0.77	0.31	0.24	0.09	0.7	0.51	0.07	1.07
"fpt94"	1.36	0.5	0.39	0.13	0.9	0.86	0.17	1.53
"fpt95"	0.87	0.37	0.29	0.11	0.82	0.6	0.1	1.16
"fpt96"	0.13	0.06	0.04	0.04	0.14	0.11	0.04	0.14
"fpt97"	38.9	28.36	44.03	8.22	30.98	22.19	11.53	13.03
"fpt98"	1.36	0.5	0.39	0.13	0.9	0.86	0.17	1.55
"fpt99"	0.09	0.06	0.03	0.2	0.07	0.06	0.03	0.06
"fpt100"	0.92	0.21	0.1	0.14	0.53	0.53	0.21	0.66
"fpt101"	0.77	0.31	0.24	0.09	0.7	0.51	0.07	1.07
"fpt102"	43.22	30.7	46.58	17.09	37.9	31.8	15.86	23.86
"fpt103"	0.77	0.31	0.24	0.09	0.7	0.51	0.07	1.07
"fpt104"	0.11	0.07	0.03	0	0.04	0.13	0.09	0.07
"fpt105"	16.91	6.89	6.64	9.98	14	16.49	5.96	17.6
"fpt106"	0.01	0	0.01	0	0.04	0.03	0	0.03
"fpt107"	43.27	31.07	44.13	18.72	33.85	28.58	16.57	25.59
"fpt108"	36.16	27.85	46.24	16.71	36.56	30.58	15.43	21.22
"fpt109"	0.01	0	0	0	0.03	0.03	0.01	0.03
"fpt110"	0.01	0	0	0	0.03	0.03	0.01	0.03
"fpt111"	0	0	0	0.17	0	0	0	0
"fpt112"	34.53	26.8	46.44	16.65	36.58	30.25	15.21	19.33
"fpt113"	0.77	0.31	0.24	0.09	0.7	0.51	0.07	1.07
"fpt114"	1.36	0.5	0.39	0.13	0.9	0.86	0.17	1.53
"fpt115"	0.03	0.01	0	0.29	0	0	0	0
"fpt116"	5.92	2.96	3.14	8.77	7.99	10.65	4.66	13.33
"fpt117"	0.13	0.06	0.04	0.04	0.14	0.11	0.04	0.14
"fpt118"	0.77	0.31	0.24	0.09	0.7	0.51	0.07	1.07
"fpt119"	0.77	0.31	0.24	0.09	0.7	0.51	0.07	1.07
"fpt120"	8.29	3.42	0.6	0.41	1.74	1.76	0.64	4.31
